0,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108
30,220,265,313,338,403,410,435,437,462,527,562,637,673,713,758
36,240,285,333,368,423,450,485,510,545,600,640,700,740,785,832
48,260,305,353,398,443,490,535,583,628,673,718,763,807,856,908
54,281,335,385,437,490,542,592,646,697,748,798,849,899,953,1011
60,305,362,422,478,535,592,652,708,766,822,879,935,991,1051,1114
66,329,392,454,518,583,646,708,772,834,897,960,1024,1101,1168,1238
72,353,421,490,559,628,697,766,834,906,978,1049,1120,1191,1263,1339
78,374,449,529,598,673,748,826,901,975,1050,1125,1200,1274,1351,1432
84,398,478,559,639,721,802,882,963,1043,1124,1204,1285,1365,1447,1534
90,423,508,592,679,766,852,938,1026,1112,1198,1285,1371,1457,1545,1638
96,443,535,628,721,813,906,996,1088,1181,1274,1367,1461,1554,1648,1747
102,467,565,664,763,861,960,1056,1155,1252,1351,1450,1549,1648,1747,1852
108,490,595,699,804,909,1031,1116,1220,1325,1435,1534,1639,1743,1848,1959
114,514,625,736,846,957,1067,1175,1286,1396,1507,1618,1729,1839,1950,2067
120,538,654,772,888,981,1121,1235,1351,1496,1585,1701,1818,1934,2050,2173
