0,24,30,36,42,48,54,60,66,72,84,90,96,102,108
36,460,520,585,650,715,765,825,855,935,1095,1185,1275,1365,1435
42,485,550,615,685,755,825,855,895,1025,1185,1275,1365,1435,1495
48,515,585,650,715,795,855,895,935,1095,1275,1365,1435,1495,1585
54,535,605,685,755,825,895,935,1025,1185,1365,1435,1495,1585,1685
60,560,645,715,795,855,935,1025,1095,1275,1435,1495,1585,1685,1775
66,585,675,755,825,895,1025,1095,1185,1365,1495,1585,1685,1775,1935
72,605,705,795,855,935,1095,1185,1275,1435,1585,1685,1775,1935,2125
78,625,725,825,895,1025,1185,1275,1365,1495,1685,1775,1935,2125,2125
84,655,765,855,935,1095,1275,1365,1435,1585,1775,1935,2125,2125,2250
90,685,795,895,1025,1185,1365,1435,1495,1685,1935,2125,2125,2250,2250
96,705,815,935,1095,1275,1435,1495,1585,1775,2125,2125,2250,2250,2395
102,765,895,1025,1185,1365,1495,1585,1685,1935,2125,2250,2250,2395,2515
108,815,925,1095,1275,1415,1585,1685,1775,2125,2250,2250,2395,2515,2745
114,875,995,1185,1365,1495,1685,1775,1935,2125,2250,2395,2515,2745,2950
120,915,1025,1275,1435,1585,1775,1935,2125,2250,2395,2535,2745,2950,3150
